# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Apr 21 06:36:07 PKT 2021
#
At utterance begin, SIL accounts for 85.7% of phone occurrences, with duration (median, mean, 95-percentile) is (25,30.0,72) frames.
At utterance begin, nonsilence accounts for 14.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,20) frames.
At utterance begin, S_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.8,21) frames.
At utterance begin, H_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.6,13) frames.
At utterance begin, S_H_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.4,22) frames.
At utterance begin, K_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,10) frames.
At utterance begin, M_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.3,13) frames.
At utterance begin, T_D_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,10) frames.
At utterance begin, A_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,12) frames.
At utterance begin, P_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,8) frames.
At utterance begin, F_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,12.8,14) frames.
At utterance begin, Q_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.3,10) frames.
At utterance end, SIL accounts for 84.2% of phone occurrences, with duration (median, mean, 95-percentile) is (46,56.7,142) frames.
At utterance end, nonsilence accounts for 15.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,21.0,60) frames.
At utterance end, A_Y_E accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,25) frames.
At utterance end, A_E_N_E accounts for 5.2% of phone occurrences, with duration (median, mean, 95-percentile) is (26,33.4,71) frames.
At utterance end, A_A_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.7,41) frames.
At utterance end, I_I1_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,19.8,26) frames.
At utterance end, A_Y_N_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,16.3,15) frames.
Overall, nonsilence accounts for 92.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.3,32) frames.
Overall, A_I accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,15) frames.
Overall, SIL accounts for 7.5% of phone occurrences, with duration (median, mean, 95-percentile) is (24,35.3,103) frames.
Overall, A_A_I accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,18.0,39) frames.
Overall, A_Y_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.7,43) frames.
Overall, K_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,17) frames.
Overall, R_I accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.7,20) frames.
Overall, I_I accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,15) frames.
Overall, I_I1_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (19,20.6,39) frames.
