<oov> 1.0	oov
<SIL> 1.0	SIL
تہذیب 1.0	T_D A_E_H H Z I_I1 B
خفیہ 1.0	X U F J A_A
قضیے 1.0	Q U Z J A_Y
ٹرانسفارمر 1.0	T A R A_A N S F A_A R M A R
دھاگے 1.0	D_D_H A_A G A_Y
سپاہیوں 1.0	S I P A_A H I_I1 O_O_N
کھود 1.0	K_H O_O D_D
سونامی 1.0	S U_U N A_A M I_I1
بھانپ 1.0	B_H A_A M P
سوختہ 1.0	S O_O X T_D A_A
پونے 1.0	P O N A_Y
پیروی 1.0	P A_E1 R V I_I1
شب 1.0	S_H A B
بہت 1.0	B A H O_O T_D
بدشگونی 1.0	B A D_D S_H A G U_U N I_I1
بھگدڑ 1.0	B_H A G D_D A R_R
ٹورنامنٹ 1.0	T U_U R N A_A M I N T
نااہلی 1.0	N A_A A_E_H H L I_I1
خیرہ 1.0	X I_I1 R A_A
طوفان 1.0	T_D U_U F A_A N
منافعوں 1.0	M U N A_A F O_O_N
چوالیس 1.0	T_S1 A V A_A L I_I1 S
ڈرائینگ 1.0	D A R A_A I_I1 N_G
ارشاد 1.0	I R S_H A_A D_D
پرچھائیاں 1.0	P A R T_S_H A_A I J A_A_N
تمحیص 1.0	T_D A M H I_I1 S
بخوبی 1.0	B A X U_U B I_I1
لاشوں 1.0	L A_A S_H O_O_N
لوث 1.0	L O_O S
منجھی 1.0	M A N D_Z_H I_I1
بڑھ 1.0	B A R_R_H
واقعہ 1.0	V A_A Q I A_A
امداد 1.0	I M D_D A_A D_D
انجری 1.0	I N D_Z R I_I1
سیرگاہ 1.0	S A_E1 R G A_A
بیعانہ 1.0	B A_Y A_A N A_A
دھو 1.0	D_D_H O_O
توضیحات 1.0	T_D O Z I_I1 H A_A T_D
پھپھوندی 1.0	P_H A P_H U_U N D_D I_I1
عراقی 1.0	I R A_A Q I_I1
آہستہ 1.0	A_A H I S T_D A_A
پیچیدگیوں 1.0	P A_E1 T_S1 I_I1 D_D I G I_I1 O_O_N
نامی 1.0	N A_A M I_I1
ایڈوائزری 1.0	A_E1 D V A_A I Z I R I_I1
زیراہتمام 1.0	Z A_Y R A_Y I H T_D I M A_A M
سیدھے 1.0	S I_I1 D_D_H A_Y
جوڑ 1.0	D_Z O_O R_R
رخوں 1.0	R U X O_O_N
پچھتر 1.0	P A T_S_H A T_D T_D A R
مہاجر 1.0	M U H A_A D_Z I R
سماوی 1.0	S A M A_A V I_I1
فیوض 1.0	F U J U_U Z
جھلک 1.0	D_Z_H A L A K
شمس 1.0	S_H A M S
حاوی 1.0	H A_A V I_I1
دوبھر 1.0	D_D U_U B_H A R
ہوئی 1.0	H U_U I_I1
رقص 1.0	R A Q S
جادوئی 1.0	D_Z A_A D_D U_U I_I1
ملازمت 1.0	M U L A_A Z M A T_D
ڈھیلا 1.0	D_H I_I1 L A_A
لاؤں 1.0	L A_A U_U_N
نیٹو 1.0	N A_Y T O_O
بدلے 1.0	B A D_D L A_Y
بڑھایا 1.0	B A R_R_H A_A J A_A
ہلکی 1.0	H A L K I_I1
دھونی 1.0	D_D_H U_U N I_I1
جرگہ 1.0	D_Z I R G A_A
ویزے 1.0	V I_I1 Z A_Y
چوائس 1.0	T_S1 U V A_A I S
لفظیات 1.0	L A F Z I J A_A T_D
استغاثہ 1.0	I S T_D I G_G A_A S A_A
بھیم 1.0	B_H I_I1 M
ایری 1.0	A_E1 R I_I1
شبہ 1.0	S_H U B A_A
فیڈر 1.0	F I_I1 D A R
تھیوری 1.0	T_D_H I J U_U R I_I1
گداز 1.0	G U D_D A_A Z
منصوبے 1.0	M A N S U_U B A_Y
ایشز 1.0	A_E1 S_H I Z
سوکھا 1.0	S U_U K_H A_A
سوواں 1.0	S O V A_A_N
جیب 1.0	D_Z A_Y B
انفورسمنٹ 1.0	I N F O_O R S M A N T
فٹنیس 1.0	F I T N A_E1 S
اچھال 1.0	U T_S_H A_A L
سمفنی 1.0	S I M F A N I_I1
مجاہد 1.0	M U D_Z A_A H I D_D
بھوسہ 1.0	B_H U_U S A_A
بےاختیار 1.0	B A_Y I X T_D I J A_A R
جھگڑے 1.0	D_Z_H A G R_R A_Y
کموڈور 1.0	K A M O_O D O_O R
چمڑا 1.0	T_S1 A M R_R A_A
تھام 1.0	T_D_H A_A M
نامور 1.0	N A_A M V A R
مہندی 1.0	M I H N D_D I_I1
پیٹ 1.0	P A_Y T
سپرنٹنڈنٹ 1.0	S U P R I N T I N D I N T
لے 1.0	L A_Y
پہلووں 1.0	P A_E_H H L U V O_O_N
